TrapID,Habitat,Trap_Type,Sampling_Dates,Start_Date,End_Date,Sampling_Duration,Sampling_Session,Month,Week_of_Year,End_Day_of_the_Year,Order,Family,Lowest_Det,Count,Count per Day, Quad Veg Cover , Quad Native Veg Cover ,Quad Non-Native Veg Cover,NQ Native Veg Cover,NQ Non-Native Veg Cover,Quad Grass Cover,Quad Native Grass Cover,Quad Non-Native Grass Cover,NQ Non-Native Grass,Quad Herbaceous Cover,Quad Native Herb Cover,Quad Non-Native Herb Cover,NQ Native Herb,NQ Non-Native Herb,Quad Shrub Cover (Native),NQ Shrub Cover (Native),NQ Tree Cover (Native),Moss Cover,Bare Ground,Thatch Cover,Thatch Depth (cm),Quad Veg Height (cm),Min pH,Max pH,Avg. pH,Min Soil Max Salinity,Avg Soil Max Salinity,Max Soil Max Salinity,Min Soil Max %CaCO3,Avg Soil Max %CaCO3,Max Soil Max %CaCO3,Quad. Number of Spp.,NQ Number of Spp.,Quad. Native Spp.,NQ Native Spp.,Quad. Non-Native Spp.,NQ Non-Native Spp.,Quad. Unknown Spp. (e.g. Moss),NQ Unknown Spp. (e.g. Moss),Quad Native Grass Spp.,Quad. Non-Native Grass Spp.,NQ Non-Native Grass Spp.,Quad. Native Herb Spp.,NQ Native Herb Spp.,Quad. Non-Native Herb Spp.,NQ Non-Native Herb Spp.,Quad. Native Shrub Spp.,NQ Native Shrub Spp.,NQ Tree Spp.,Quad. Dominant Species Name,Quad. Dominant Species Type,NQ Dominant Species Name,NQ Dominant Species Type
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",4/11/2016,4/17/2016,6,Spring 1,April,16,109,Archaeognatha,Machilidae,Machilidae,0,0.0,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",4/11/2016,4/17/2016,6,Spring 1,April,16,109,Collembola,Bourletiellidae,Bourletiellidae,298,49.7,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",4/11/2016,4/17/2016,6,Spring 1,April,16,109,Collembola,Entomobryidae,Entomobryidae,106,17.7,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",4/11/2016,4/17/2016,6,Spring 1,April,16,109,Collembola,Isotomidae,Isotomidae,1,0.2,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",4/11/2016,4/17/2016,6,Spring 1,April,16,109,Isopoda,Armadillidiidae,Armadillidium,235,39.2,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",4/11/2016,4/17/2016,6,Spring 1,April,16,109,Isopoda,Porcellionidae,Porcellio,4,0.7,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"April 11-17, 2016",4/11/2016,4/17/2016,6,Spring 1,April,16,109,Dermaptera,Forficulidae,Forficulidae,11,1.8,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",7/11/2016,7/14/2016,3,Summer,July,29,196,Collembola,Isotomidae,Isotomidae,0,0.0,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",7/11/2016,7/14/2016,3,Summer,July,29,196,Archaeognatha,Machilidae,Machilidae,25,8.3,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
AG-PIT-01,Non-native Annual Grassland,PIT,"July 11-14, 2016",7/11/2016,7/14/2016,3,Summer,July,29,196,Collembola,Bourletiellidae,Bourletiellidae,0,0.0,82, -   ,82,2,4,73.3, -   ,73.3,1,8.7, -   ,8.7,2,3, -   , -   , -   , -   ,8.3,9.7,2.7,47.1,5.1,8.1,6.6,1,5.6,12, -   ,4,28,10,3, -   ,1,10,2, -   , -   , -   ,4,1, -   ,1,6,1, -   , -   , -   , Bromus diandrus , Non-Native Invasive Annual Grass , -   , -   
