id,Slope,rep,Topo,Aspect,Scarification,cage,Eaten,Herbivory,Severity,seeds,ph,ec,som,nitrogen,carbon,germ,death,flowerday,seedday,age,day.to.flower,day.to.seed
278,gentle,3,South Gentle,south,unscarified,small,yes,1,mild,0,5.28,30.8,2.4095,0.02624376,0.6555965,3/28/2017,4/26/2017,,,29,,
15,gentle,4,South Gentle,south,unscarified,big,no,0,none,0,5.88,19.75,2.295,0.079195345,1.0552516,2/16/2017,2/16/2017,,,0,,
149,gentle,4,South Gentle,south,unscarified,small,no,0,none,0,5.465,33.75,2.375,0.0195615,0.5656115,2/16/2017,3/28/2017,,,40,,
107,gentle,5,South Gentle,south,unscarified,big,no,0,none,0,5.555,23.95,1.2,0.02659348,0.5780991,2/16/2017,3/14/2017,,,26,,
334,gentle,5,South Gentle,south,scarified,small,no,0,none,0,6.01,21.3,3.43,0.048114535,0.42993585,2/16/2017,3/28/2017,,,40,,
73,ridge,1,No.aspect Ridge,no.aspect,scarified,small,yes,2,mild,233,6.2,30.65,3.104,0,0.69382165,2/16/2017,5/31/2017,3/14/2017,3/28/2017,104,26,40
26,steep,1,North Steep,north,unscarified,big,yes,2,mild,117,6.145,21.75,5.545,0.044625775,0.7734109,2/16/2017,5/10/2017,3/14/2017,3/28/2017,83,26,40
32,steep,1,North Steep,north,unscarified,big,yes,2,mild,128,6.145,21.75,5.545,0.044625775,0.7734109,2/16/2017,5/31/2017,3/14/2017,3/28/2017,104,26,40
39,steep,1,North Steep,north,unscarified,big,no,0,none,0,6.145,21.75,5.545,0.044625775,0.7734109,3/14/2017,4/26/2017,,,43,,
180,steep,1,North Steep,north,scarified,big,no,0,none,0,6.145,21.75,5.545,0.044625775,0.7734109,2/16/2017,2/16/2017,,,0,,
265,steep,1,North Steep,north,unscarified,big,no,0,none,0,6.145,21.75,5.545,0.044625775,0.7734109,2/16/2017,2/16/2017,,,0,,
63,steep,1,North Steep,north,unscarified,none,no,4,severe,0,6.29,15.95,2.665,0.03640489,0.2277488,3/14/2017,4/12/2017,,,29,,
21,steep,1,North Steep,north,scarified,small,yes,3,severe,62,5.51,29.55,7.945,0.031090675,0.57696615,2/16/2017,5/31/2017,3/28/2017,4/12/2017,104,40,55
28,steep,1,North Steep,north,unscarified,small,yes,1,mild,5,5.51,29.55,7.945,0.031090675,0.57696615,2/16/2017,5/10/2017,4/12/2017,4/26/2017,83,55,69
